# US-Mexico Border Truck Crossings  source=scrape:bts-borders  generated=2026-04-26T14:51:23.729Z
date,value
1996-01-01,255.176
1996-02-01,258.334
1996-03-01,269.872
1996-04-01,241.608
1996-05-01,279.286
1996-06-01,263.04
1996-07-01,269.974
1996-08-01,275.565
1996-09-01,252.736
1996-10-01,314.51
1996-11-01,292.096
1996-12-01,281.887
1997-01-01,299.793
1997-02-01,290.845
1997-03-01,291.1
1997-04-01,314.517
1997-05-01,307.247
1997-06-01,306.257
1997-07-01,309.583
1997-08-01,300.61
1997-09-01,318.753
1997-10-01,343.053
1997-11-01,301.296
1997-12-01,306.611
1998-01-01,318.38
1998-02-01,309.688
1998-03-01,353.328
1998-04-01,343.816
1998-05-01,329.961
1998-06-01,339.169
1998-07-01,321.469
1998-08-01,316.024
1998-09-01,329.505
1998-10-01,329.285
1998-11-01,329.426
1998-12-01,326.492
1999-01-01,320.144
1999-02-01,338.269
1999-03-01,408.162
1999-04-01,365.208
1999-05-01,359.245
1999-06-01,379.89
1999-07-01,360.473
1999-08-01,365.554
1999-09-01,361.516
1999-10-01,373.179
1999-11-01,374.104
1999-12-01,352.977
2000-01-01,357.426
2000-02-01,377.296
2000-03-01,414.412
2000-04-01,359.239
2000-05-01,401.676
2000-06-01,399.61
2000-07-01,357.425
2000-08-01,410.903
2000-09-01,366.768
2000-10-01,388.288
2000-11-01,363.937
2000-12-01,328.599
2001-01-01,359.459
2001-02-01,342.476
2001-03-01,388.393
2001-04-01,351.934
2001-05-01,387.767
2001-06-01,360.917
2001-07-01,342.869
2001-08-01,374.216
2001-09-01,333.294
2001-10-01,385.399
2001-11-01,356.274
2001-12-01,321.961
2002-01-01,362.764
2002-02-01,351.653
2002-03-01,378.634
2002-04-01,394.378
2002-05-01,387.629
2002-06-01,359.26
2002-07-01,375.233
2002-08-01,381.991
2002-09-01,349.746
2002-10-01,398.319
2002-11-01,357.782
2002-12-01,329.204
2003-01-01,363.563
2003-02-01,338.432
2003-03-01,368.711
2003-04-01,360.439
2003-05-01,363.131
2003-06-01,355.396
2003-07-01,329.586
2003-08-01,343.744
2003-09-01,345.77
2003-10-01,387.698
2003-11-01,343.07
2003-12-01,338.505
2004-01-01,357.073
2004-02-01,354.664
2004-03-01,421.153
2004-04-01,385.2
2004-05-01,376.8
2004-06-01,388.085
2004-07-01,366.672
2004-08-01,375.893
2004-09-01,369.295
2004-10-01,376.217
2004-11-01,376.671
2004-12-01,355.965
2005-01-01,361.479
2005-02-01,366.633
2005-03-01,397.724
2005-04-01,395.48
2005-05-01,396.384
2005-06-01,402.53
2005-07-01,361.828
2005-08-01,407.199
2005-09-01,390.992
2005-10-01,406.766
2005-11-01,409.006
2005-12-01,381.58
2006-01-01,392.139
2006-02-01,381.67
2006-03-01,428.671
2006-04-01,385.711
2006-05-01,421.037
2006-06-01,417.233
2006-07-01,384.092
2006-08-01,423.336
2006-09-01,383.45
2006-10-01,415.454
2006-11-01,370.937
2006-12-01,356.786
2007-01-01,390.428
2007-02-01,378.824
2007-03-01,437.841
2007-04-01,400.621
2007-05-01,439.258
2007-06-01,414.625
2007-07-01,399.854
2007-08-01,432.633
2007-09-01,381.68
2007-10-01,435.214
2007-11-01,411.913
2007-12-01,359.609
2008-01-01,412.007
2008-02-01,410.154
2008-03-01,407.802
2008-04-01,445.437
2008-05-01,434.92
2008-06-01,425.939
2008-07-01,421.204
2008-08-01,408.367
2008-09-01,394.948
2008-10-01,423.168
2008-11-01,351.074
2008-12-01,331.232
2009-01-01,338.857
2009-02-01,328.561
2009-03-01,363.836
2009-04-01,357.907
2009-05-01,341.601
2009-06-01,360.817
2009-07-01,362.086
2009-08-01,352.34
2009-09-01,364.722
2009-10-01,393.942
2009-11-01,366.67
2009-12-01,360.126
2010-01-01,362.361
2010-02-01,365.684
2010-03-01,437.589
2010-04-01,406.696
2010-05-01,406.353
2010-06-01,416.531
2010-07-01,385.688
2010-08-01,405.326
2010-09-01,386.817
2010-10-01,397.002
2010-11-01,396.321
2010-12-01,376.557
2011-01-01,390.067
2011-02-01,375.579
2011-03-01,450.39
2011-04-01,406.786
2011-05-01,427.866
2011-06-01,428.731
2011-07-01,389.195
2011-08-01,395.587
2011-09-01,399.902
2011-10-01,412.429
2011-11-01,409.868
2011-12-01,381.976
2012-01-01,415.573
2012-02-01,417.237
2012-03-01,458.966
2012-04-01,417.881
2012-05-01,460.181
2012-06-01,430.283
2012-07-01,416.027
2012-08-01,442.54
2012-09-01,392.223
2012-10-01,454.93
2012-11-01,427.865
2012-12-01,370.217
2013-01-01,428.107
2013-02-01,408.669
2013-03-01,429.118
2013-04-01,470.867
2013-05-01,462.653
2013-06-01,422.524
2013-07-01,435.699
2013-08-01,435.4
2013-09-01,405.484
2013-10-01,469.158
2013-11-01,428.552
2013-12-01,398.636
2014-01-01,443.209
2014-02-01,422.277
2014-03-01,467.828
2014-04-01,468.263
2014-05-01,474.277
2014-06-01,446.531
2014-07-01,461.001
2014-08-01,442.428
2014-09-01,440.589
2014-10-01,489.258
2014-11-01,427.444
2014-12-01,431.463
2015-01-01,447.705
2015-02-01,434.241
2015-03-01,490.307
2015-04-01,475.78
2015-05-01,468.216
2015-06-01,481.539
2015-07-01,470.243
2015-08-01,433.282
2015-09-01,455.664
2015-10-01,488.679
2015-11-01,449.882
2015-12-01,439.833
2016-01-01,443.705
2016-02-01,468.416
2016-03-01,498.711
2016-04-01,506.557
2016-05-01,501.367
2016-06-01,496.423
2016-07-01,439.231
2016-08-01,504.059
2016-09-01,481.245
2016-10-01,499.7
2016-11-01,492.34
2016-12-01,471.027
