# Cass Freight Index — Expenditures  source=scrape:cass  generated=2026-04-26T15:14:55.453Z
date,value
2016-01-01,2.174
2016-02-01,2.31
2016-03-01,2.287
2016-04-01,2.292
2016-05-01,2.282
2016-06-01,2.37
2016-07-01,2.355
2016-08-01,2.278
2016-09-01,2.396
2016-10-01,2.343
2016-11-01,2.3
2016-12-01,2.274
2017-01-01,2.268
2017-02-01,2.383
2017-03-01,2.355
2017-04-01,2.429
2017-05-01,2.451
2017-06-01,2.497
2017-07-01,2.46
2017-08-01,2.499
2017-09-01,2.507
2017-10-01,2.606
2017-11-01,2.629
2017-12-01,2.638
2018-01-01,2.59
2018-02-01,2.724
2018-03-01,2.723
2018-04-01,2.74
2018-05-01,2.875
2018-06-01,2.894
2018-07-01,2.901
2018-08-01,2.917
2018-09-01,2.99
2018-10-01,2.919
2018-11-01,2.849
2018-12-01,2.903
2019-01-01,2.792
2019-02-01,2.874
2019-03-01,2.889
2019-04-01,2.909
2019-05-01,2.845
2019-06-01,2.919
2019-07-01,2.861
2019-08-01,2.84
2019-09-01,2.854
2019-10-01,2.8
2019-11-01,2.81
2019-12-01,2.723
2020-01-01,2.568
2020-02-01,2.679
2020-03-01,2.651
2020-04-01,2.379
2020-05-01,2.243
2020-06-01,2.386
2020-07-01,2.452
2020-08-01,2.695
2020-09-01,2.888
2020-10-01,2.886
2020-11-01,2.971
2020-12-01,3.077
2021-01-01,3.07
2021-02-01,3.132
2021-03-01,3.379
2021-04-01,3.452
2021-05-01,3.362
2021-06-01,3.732
2021-07-01,3.51
2021-08-01,3.832
2021-09-01,3.818
2021-10-01,3.96
2021-11-01,4.275
2021-12-01,4.419
2022-01-01,4.027
2022-02-01,4.453
2022-03-01,4.501
2022-04-01,4.51
2022-05-01,4.287
2022-06-01,4.665
2022-07-01,4.527
2022-08-01,4.614
2022-09-01,4.627
2022-10-01,4.399
2022-11-01,4.476
2022-12-01,4.231
2023-01-01,4.096
2023-02-01,4.02
2023-03-01,3.961
2023-04-01,3.877
2023-05-01,3.614
2023-06-01,3.52
2023-07-01,3.423
2023-08-01,3.459
2023-09-01,3.452
2023-10-01,3.375
2023-11-01,3.331
2023-12-01,3.23
2024-01-01,3.102
2024-02-01,3.225
2024-03-01,3.227
2024-04-01,3.227
2024-05-01,3.288
2024-06-01,3.189
2024-07-01,3.211
2024-08-01,3.147
2024-09-01,3.224
2024-10-01,3.175
2024-11-01,3.203
2024-12-01,3.12
2025-01-01,2.971
2025-02-01,3.078
2025-03-01,3.163
2025-04-01,3.267
2025-05-01,3.313
2025-06-01,3.273
2025-07-01,3.225
2025-08-01,3.135
2025-09-01,3.296
2025-10-01,3.169
2025-11-01,3.163
2025-12-01,3.101
2026-01-01,2.99
2026-02-01,3.143
2026-03-01,3.296
