# Cass Truckload Linehaul Index  source=scrape:cass  generated=2026-04-26T15:57:36.070Z
date,value
2005-01-01,100
2005-02-01,100.52
2005-03-01,99.15
2005-04-01,100.09
2005-05-01,100.11
2005-06-01,100.9
2005-07-01,102.04
2005-08-01,102.22
2005-09-01,103.79
2005-10-01,104.77
2005-11-01,106.44
2005-12-01,106.35
2006-01-01,105.65
2006-02-01,105.54
2006-03-01,104.06
2006-04-01,105.51
2006-05-01,105.82
2006-06-01,105.69
2006-07-01,106.68
2006-08-01,106.82
2006-09-01,107.71
2006-10-01,108.31
2006-11-01,108.38
2006-12-01,109.49
2007-01-01,106.95
2007-02-01,107.46
2007-03-01,104.37
2007-04-01,104.85
2007-05-01,103.64
2007-06-01,103.93
2007-07-01,104.59
2007-08-01,104.86
2007-09-01,106.5
2007-10-01,106.21
2007-11-01,107.75
2007-12-01,107.22
2008-01-01,106.2
2008-02-01,107.18
2008-03-01,107.09
2008-04-01,106.98
2008-05-01,108.79
2008-06-01,108.49
2008-07-01,108.9
2008-08-01,109.64
2008-09-01,109.23
2008-10-01,108.5
2008-11-01,107.08
2008-12-01,107.74
2009-01-01,106.39
2009-02-01,104.09
2009-03-01,102.7
2009-04-01,102.3
2009-05-01,102.47
2009-06-01,101.14
2009-07-01,103.15
2009-08-01,103.45
2009-09-01,102.48
2009-10-01,101.49
2009-11-01,102.37
2009-12-01,101.64
2010-01-01,101.7
2010-02-01,101.64
2010-03-01,100.6
2010-04-01,102.24
2010-05-01,103.38
2010-06-01,104.63
2010-07-01,106.59
2010-08-01,106.35
2010-09-01,107.24
2010-10-01,106.88
2010-11-01,106.34
2010-12-01,106.01
2011-01-01,106.67
2011-02-01,106.24
2011-03-01,105.22
2011-04-01,106.72
2011-05-01,107.8
2011-06-01,110.25
2011-07-01,110.25
2011-08-01,110.28
2011-09-01,110.01
2011-10-01,111.07
2011-11-01,111.52
2011-12-01,112.89
2012-01-01,111.81
2012-02-01,109.92
2012-03-01,110.93
2012-04-01,111.44
2012-05-01,111.6
2012-06-01,112.47
2012-07-01,112.42
2012-08-01,112.58
2012-09-01,112.98
2012-10-01,115.04
2012-11-01,115.9
2012-12-01,117.06
2013-01-01,112.71
2013-02-01,112.02
2013-03-01,112.23
2013-04-01,112.12
2013-05-01,112.86
2013-06-01,114.03
2013-07-01,114.81
2013-08-01,115.66
2013-09-01,116.58
2013-10-01,117.48
2013-11-01,116.93
2013-12-01,117.84
2014-01-01,115.86
2014-02-01,116.2
2014-03-01,117.24
2014-04-01,118.61
2014-05-01,118.66
2014-06-01,119.51
2014-07-01,121.26
2014-08-01,121.54
2014-09-01,122.31
2014-10-01,123.6
2014-11-01,123.08
2014-12-01,125.08
2015-01-01,123.57
2015-02-01,122.5
2015-03-01,124.25
2015-04-01,124.85
2015-05-01,124.27
2015-06-01,125.04
2015-07-01,125.95
2015-08-01,125.24
2015-09-01,125.18
2015-10-01,126.34
2015-11-01,125.97
2015-12-01,127
2016-01-01,124.52
2016-02-01,124.34
2016-03-01,124.37
2016-04-01,122.97
2016-05-01,122.88
2016-06-01,123.91
2016-07-01,123.11
2016-08-01,123.55
2016-09-01,124.03
2016-10-01,125.44
2016-11-01,126.6
2016-12-01,126.46
2017-01-01,124.64
2017-02-01,123.64
2017-03-01,124.62
2017-04-01,123.49
2017-05-01,124.25
2017-06-01,124.76
2017-07-01,125.2
2017-08-01,126.87
2017-09-01,128.68
2017-10-01,131.47
2017-11-01,130.92
2017-12-01,131.15
2018-01-01,132.12
2018-02-01,133.28
2018-03-01,134.04
2018-04-01,135.51
2018-05-01,136.73
