# Cass Freight Index — Shipments  source=scrape:cass  generated=2026-04-26T15:14:55.443Z
date,value
2016-01-01,0.974
2016-02-01,1.055
2016-03-01,1.07
2016-04-01,1.077
2016-05-01,1.091
2016-06-01,1.11
2016-07-01,1.111
2016-08-01,1.115
2016-09-01,1.111
2016-10-01,1.121
2016-11-01,1.087
2016-12-01,1.074
2017-01-01,1.005
2017-02-01,1.075
2017-03-01,1.08
2017-04-01,1.12
2017-05-01,1.168
2017-06-01,1.163
2017-07-01,1.126
2017-08-01,1.158
2017-09-01,1.147
2017-10-01,1.153
2017-11-01,1.155
2017-12-01,1.151
2018-01-01,1.131
2018-02-01,1.198
2018-03-01,1.209
2018-04-01,1.234
2018-05-01,1.307
2018-06-01,1.247
2018-07-01,1.245
2018-08-01,1.227
2018-09-01,1.241
2018-10-01,1.224
2018-11-01,1.162
2018-12-01,1.142
2019-01-01,1.128
2019-02-01,1.173
2019-03-01,1.197
2019-04-01,1.194
2019-05-01,1.228
2019-06-01,1.181
2019-07-01,1.171
2019-08-01,1.19
2019-09-01,1.199
2019-10-01,1.152
2019-11-01,1.124
2019-12-01,1.052
2020-01-01,1.022
2020-02-01,1.085
2020-03-01,1.087
2020-04-01,0.923
2020-05-01,0.938
2020-06-01,0.971
2020-07-01,1.018
2020-08-01,1.099
2020-09-01,1.177
2020-10-01,1.18
2020-11-01,1.154
2020-12-01,1.122
2021-01-01,1.11
2021-02-01,1.13
2021-03-01,1.196
2021-04-01,1.178
2021-05-01,1.269
2021-06-01,1.231
2021-07-01,1.177
2021-08-01,1.234
2021-09-01,1.184
2021-10-01,1.189
2021-11-01,1.206
2021-12-01,1.208
2022-01-01,1.078
2022-02-01,1.171
2022-03-01,1.203
2022-04-01,1.172
2022-05-01,1.235
2022-06-01,1.203
2022-07-01,1.232
2022-08-01,1.278
2022-09-01,1.241
2022-10-01,1.224
2022-11-01,1.201
2022-12-01,1.161
2023-01-01,1.124
2023-02-01,1.167
2023-03-01,1.155
2023-04-01,1.144
2023-05-01,1.166
2023-06-01,1.147
2023-07-01,1.122
2023-08-01,1.143
2023-09-01,1.163
2023-10-01,1.108
2023-11-01,1.094
2023-12-01,1.077
2024-01-01,1.039
2024-02-01,1.115
2024-03-01,1.113
2024-04-01,1.098
2024-05-01,1.098
2024-06-01,1.078
2024-07-01,1.11
2024-08-01,1.121
2024-09-01,1.102
2024-10-01,1.081
2024-11-01,1.086
2024-12-01,1.007
2025-01-01,0.954
2025-02-01,1.054
2025-03-01,1.054
2025-04-01,1.058
2025-05-01,1.054
2025-06-01,1.052
2025-07-01,1.033
2025-08-01,1.017
2025-09-01,1.042
2025-10-01,0.997
2025-11-01,1.004
2025-12-01,0.932
2026-01-01,0.886
2026-02-01,0.978
2026-03-01,1.007
