# Americold (COLD)  source=yahoo  generated=2026-04-26T02:55:44.987Z
date,value
2018-01-19,100
2018-01-22,100.1125
2018-01-23,99.2684
2018-01-24,99.2121
2018-01-25,99.8874
2018-01-26,99.8874
2018-01-29,101.0129
2018-01-30,100.7878
2018-01-31,102.87
2018-02-01,102.8137
2018-02-02,102.3072
2018-02-05,100.9566
2018-02-06,100.1688
2018-02-07,101.4068
2018-02-08,99.4935
2018-02-09,100.1125
2018-02-12,98.6494
2018-02-13,101.0692
2018-02-14,101.1818
2018-02-15,100.8441
2018-02-16,101.1818
2018-02-20,101.1255
2018-02-21,100.7315
2018-02-22,100.4502
2018-02-23,102.5323
2018-02-26,101.8008
2018-02-27,101.2943
2018-02-28,101.2943
2018-03-01,100.7878
2018-03-02,100.7315
2018-03-05,99.9437
2018-03-06,100
2018-03-07,99.8312
2018-03-08,100.5064
2018-03-09,101.1255
2018-03-12,102.0258
2018-03-13,100.7878
2018-03-14,100.9566
2018-03-15,103.1513
2018-03-16,105.0647
2018-03-19,105.2335
2018-03-20,105.346
2018-03-21,106.2465
2018-03-22,106.0777
2018-03-23,105.0084
2018-03-26,104.9521
2018-03-27,103.9392
2018-03-28,105.6403
2018-03-29,108.192
2018-04-02,105.3568
2018-04-03,105.7538
2018-04-04,106.7177
2018-04-05,106.8311
2018-04-06,106.7744
2018-04-09,108.0786
2018-04-10,108.3054
2018-04-11,110.3468
2018-04-12,109.3829
2018-04-13,107.8518
2018-04-16,109.7798
2018-04-17,110.4602
2018-04-18,111.8211
2018-04-19,111.8211
2018-04-20,112.5582
2018-04-23,113.2954
2018-04-24,113.8625
2018-04-25,114.5429
2018-04-26,115.2801
2018-04-27,118.0586
2018-04-30,116.8678
2018-05-01,116.8678
2018-05-02,116.3008
2018-05-03,117.4915
2018-05-04,117.605
2018-05-07,119.0225
2018-05-08,119.8732
2018-05-09,121.8578
2018-05-10,121.5176
2018-05-11,126.4509
2018-05-14,121.4608
2018-05-15,119.2494
2018-05-16,121.4041
2018-05-17,123.8992
2018-05-18,123.8992
2018-05-21,124.126
2018-05-22,121.4608
2018-05-23,122.7084
2018-05-24,122.9352
2018-05-25,122.5382
2018-05-29,121.5176
2018-05-30,123.3888
2018-05-31,116.8111
2018-06-01,121.0639
2018-06-04,124.7497
2018-06-05,122.0279
2018-06-06,123.0486
2018-06-07,123.2754
2018-06-08,123.0486
2018-06-11,122.5949
2018-06-12,123.0486
2018-06-13,123.0486
2018-06-14,122.8785
2018-06-15,121.9145
2018-06-18,123.162
2018-06-19,123.3321
2018-06-20,125.4302
2018-06-21,126.1673
2018-06-22,126.224
2018-06-25,127.8117
2018-06-26,128.4922
2018-06-27,125.4302
2018-06-28,127.2488
2018-06-29,125.9334
2018-07-02,125.0755
2018-07-03,126.0479
2018-07-05,127.02
2018-07-06,127.5348
2018-07-09,122.9595
2018-07-10,123.6458
2018-07-11,122.6164
2018-07-12,123.1883
2018-07-13,124.2177
2018-07-16,123.7602
2018-07-17,121.7586
2018-07-18,121.5298
2018-07-19,122.6164
2018-07-20,122.1588
2018-07-23,121.7586
2018-07-24,122.9595
2018-07-25,123.6458
2018-07-26,123.4742
2018-07-27,121.4726
2018-07-30,121.9301
2018-07-31,123.0167
2018-08-01,122.4448
2018-08-02,123.1883
2018-08-03,123.989
2018-08-06,123.9318
2018-08-07,122.9023
2018-08-08,122.2161
2018-08-09,122.9595
2018-08-10,132.3387
2018-08-13,131.4238
2018-08-14,132.2244
2018-08-15,132.2244
2018-08-16,134.5692
2018-08-17,136.5137
2018-08-20,137.2
2018-08-21,137.8291
2018-08-22,135.9418
2018-08-23,136.3993
2018-08-24,137.5431
2018-08-27,138.401
2018-08-28,139.3732
2018-08-29,140.9174
2018-08-30,140.2311
2018-08-31,142.4043
2018-09-04,142.2899
2018-09-05,142.2899
2018-09-06,141.4321
2018-09-07,141.1461
2018-09-10,141.6036
2018-09-11,141.9468
2018-09-12,140.9174
2018-09-13,144.0057
2018-09-14,142.4615
2018-09-17,146.9224
2018-09-18,146.3505
2018-09-19,144.5204
2018-09-20,144.5204
2018-09-21,145.1494
2018-09-24,144.406
2018-09-25,144.0628
2018-09-26,142.8619
2018-09-27,143.1384
2018-09-28,144.1756
2018-10-01,143.6571
2018-10-02,144.1756
2018-10-03,144.1756
2018-10-04,141.8707
2018-10-05,143.3689
2018-10-08,144.7519
2018-10-09,145.3282
2018-10-10,142.7351
2018-10-11,140.0267
2018-10-12,139.0471
2018-10-15,139.7962
2018-10-16,141.4097
2018-10-17,141.4673
2018-10-18,139.3929
2018-10-19,140.7758
2018-10-22,141.1792
2018-10-23,140.3725
2018-10-24,141.1216
2018-10-25,142.6198
2018-10-26,142.3893
2018-10-29,143.0232
2018-10-30,142.7927
2018-10-31,142.6198
2018-11-01,142.7351
2018-11-02,140.8335
2018-11-05,143.1384
2018-11-06,142.6198
2018-11-07,143.7147
2018-11-08,143.4842
2018-11-09,151.8973
2018-11-12,150.7448
2018-11-13,149.65
2018-11-14,152.8769
2018-11-15,151.5515
2018-11-16,153.7413
2018-11-19,152.1278
2018-11-20,150.5144
2018-11-21,153.9141
2018-11-23,155.2971
2018-11-26,151.6091
2018-11-27,152.704
2018-11-28,154.087
2018-11-29,155.3547
2018-11-30,154.4328
2018-12-03,155.1819
2018-12-04,155.3547
2018-12-06,159.619
2018-12-07,160.5409
2018-12-10,160.0799
2018-12-11,158.9274
2018-12-12,157.0258
2018-12-13,159.0427
2018-12-14,156.1615
2018-12-17,151.8397
2018-12-18,153.626
2018-12-19,151.1482
2018-12-20,150.9753
2018-12-21,146.6535
2018-12-24,139.8539
2018-12-26,145.4434
2018-12-27,145.2129
2018-12-28,146.0722
2018-12-31,148.2783
2019-01-02,144.6787
2019-01-03,145.6077
2019-01-04,147.7558
2019-01-07,149.0331
2019-01-08,153.4455
2019-01-09,153.0971
2019-01-10,157.4514
2019-01-11,159.3673
2019-01-14,159.4253
2019-01-15,161.109
2019-01-16,161.167
2019-01-17,163.0249
2019-01-18,164.0699
2019-01-22,164.3602
2019-01-23,164.186
2019-01-24,161.2251
2019-01-25,162.154
2019-01-28,163.7216
2019-01-29,164.186
2019-01-30,166.5083
2019-01-31,170.2239
2019-02-01,169.237
2019-02-04,168.7145
2019-02-05,170.9206
2019-02-06,167.9017
2019-02-07,169.0628
2019-02-08,168.5984
2019-02-11,167.205
2019-02-12,166.3922
2019-02-13,166.218
2019-02-14,167.0308
2019-02-15,166.9147
2019-02-19,167.9597
2019-02-20,165.9858
2019-02-21,165.6955
2019-02-22,170.9206
2019-02-25,165.8697
2019-02-26,165.2891
2019-02-27,162.9088
2019-02-28,166.9147
2019-03-01,167.0308
2019-03-04,169.4693
2019-03-05,173.4752
2019-03-06,173.7074
2019-03-07,170.6304
2019-03-08,171.8496
2019-03-11,176.32
2019-03-12,173.6493
2019-03-13,174.9266
2019-03-14,175.8555
2019-03-15,177.2489
2019-03-18,177.0747
2019-03-19,174.7525
2019-03-20,173.3591
2019-03-21,175.9716
2019-03-22,175.6233
2019-03-25,177.2489
2019-03-26,178.1197
2019-03-27,176.378
2019-03-28,179.5923
2019-03-29,178.3066
2019-04-01,178.1313
2019-04-02,179.5339
2019-04-03,180.0599
2019-04-04,178.1313
2019-04-05,179.8261
2019-04-08,178.0729
2019-04-09,177.5469
2019-04-10,181.6378
2019-04-11,181.7547
2019-04-12,181.5209
2019-04-15,179.417
2019-04-16,175.3261
2019-04-17,177.7807
2019-04-18,180.7612
2019-04-22,183.2742
2019-04-23,185.3781
2019-04-24,186.6054
2019-04-25,187.0145
2019-04-26,188.8262
2019-04-29,185.9041
2019-04-30,187.073
2019-05-01,187.8911
2019-05-02,187.7158
2019-05-03,189.4691
2019-05-06,189.06
2019-05-07,185.7288
2019-05-08,180.1768
2019-05-09,179.6508
2019-05-10,180.4106
2019-05-13,177.8975
2019-05-14,180.8781
2019-05-15,181.3456
2019-05-16,182.1638
2019-05-17,181.93
2019-05-20,179.8261
2019-05-21,183.2158
2019-05-22,184.3846
2019-05-23,184.0924
2019-05-24,186.0794
2019-05-28,187.073
2019-05-29,183.0404
2019-05-30,183.4495
2019-05-31,182.9235
2019-06-03,182.6314
2019-06-04,179.943
2019-06-05,184.0924
2019-06-06,185.0859
2019-06-07,185.3781
2019-06-10,186.6054
2019-06-11,188.3587
2019-06-12,190.8717
2019-06-13,193.8522
2019-06-14,193.1509
2019-06-17,195.7808
2019-06-18,195.2548
2019-06-19,195.6055
2019-06-20,199.4626
2019-06-21,198.586
2019-06-24,197.4756
2019-06-25,194.612
2019-06-26,189.4691
2019-06-27,190.6451
2019-06-28,190.6451
2019-07-01,196.1728
2019-07-02,200.7596
2019-07-03,202.2885
2019-07-05,202.759
2019-07-08,201.7004
2019-07-09,202.9353
2019-07-10,204.9348
2019-07-11,202.3473
2019-07-12,201.5241
2019-07-15,200.4656
2019-07-16,199.5247
2019-07-17,198.0546
2019-07-18,197.7017
2019-07-19,195.1144
2019-07-22,194.0558
2019-07-23,196.9961
