# CubeSmart (CUBE)  source=yahoo  generated=2026-04-26T14:44:48.655Z
date,value
2016-04-25,100
2016-04-26,100.8202
2016-04-27,99.2454
2016-04-28,99.0158
2016-04-29,97.1457
2016-05-02,99.1142
2016-05-03,100.5905
2016-05-04,102.3622
2016-05-05,103.2152
2016-05-06,104.5932
2016-05-09,105.0197
2016-05-10,105.3149
2016-05-11,104.1667
2016-05-12,105.5775
2016-05-13,104.6916
2016-05-16,107.0538
2016-05-17,104.5932
2016-05-18,104.0355
2016-05-19,101.4108
2016-05-20,102.231
2016-05-23,101.8373
2016-05-24,103.1824
2016-05-25,102.8871
2016-05-26,103.3793
2016-05-27,104.1667
2016-05-31,104.462
2016-06-01,103.6418
2016-06-02,104.8557
2016-06-03,105.0197
2016-06-06,102.5591
2016-06-07,101.542
2016-06-08,101.0171
2016-06-09,97.8346
2016-06-10,97.0472
2016-06-13,96.6207
2016-06-14,95.7349
2016-06-15,97.6706
2016-06-16,98.1299
2016-06-17,98.2284
2016-06-20,97.5394
2016-06-21,97.0144
2016-06-22,97.5722
2016-06-23,97.0801
2016-06-24,97.0472
2016-06-27,99.0485
2016-06-28,100.5905
2016-06-29,101.053
2016-06-30,102.0111
2016-07-01,101.1521
2016-07-05,103.828
2016-07-06,103.3655
2016-07-07,102.903
2016-07-08,104.5547
2016-07-11,105.9421
2016-07-12,105.5788
2016-07-13,105.3806
2016-07-14,103.0021
2016-07-15,101.3834
2016-07-18,101.4164
2016-07-19,101.978
2016-07-20,101.8128
2016-07-21,101.0861
2016-07-22,102.0111
2016-07-25,100.3263
2016-07-26,99.2031
2016-07-27,98.9718
2016-07-28,96.4942
2016-07-29,98.146
2016-08-01,97.9808
2016-08-02,96.7255
2016-08-03,95.4372
2016-08-04,91.1426
2016-08-05,91.7703
2016-08-08,92.3649
2016-08-09,92.2328
2016-08-10,92.7614
2016-08-11,92.8604
2016-08-12,93.2899
2016-08-15,92.6622
2016-08-16,91.7373
2016-08-17,92.0676
2016-08-18,91.1096
2016-08-19,89.9534
2016-08-22,90.548
2016-08-23,90.9775
2016-08-24,90.3828
2016-08-25,89.8543
2016-08-26,89.5239
2016-08-29,90.0855
2016-08-30,90.3168
2016-08-31,90.9444
2016-09-01,92.1337
2016-09-02,93.0256
2016-09-06,92.2328
2016-09-07,93.8185
2016-09-08,92.3649
2016-09-09,89.6891
2016-09-12,89.3257
2016-09-13,88.0374
2016-09-14,87.3106
2016-09-15,87.7731
2016-09-16,87.9713
2016-09-19,88.599
2016-09-20,88.4338
2016-09-21,89.1936
2016-09-22,92.0676
2016-09-23,91.7373
2016-09-26,93.3229
2016-09-27,92.464
2016-09-28,92.8604
2016-09-29,93.3264
2016-09-30,90.7303
2016-10-03,89.7318
2016-10-04,89.166
2016-10-05,86.0707
2016-10-06,86.6032
2016-10-07,87.6683
2016-10-10,87.1357
2016-10-11,86.3036
2016-10-12,88.0011
2016-10-13,87.5351
2016-10-14,87.0358
2016-10-17,87.0358
2016-10-18,87.0358
2016-10-19,86.8361
2016-10-20,85.7711
2016-10-21,84.706
2016-10-24,85.638
2016-10-25,86.5033
2016-10-26,86.8695
2016-10-27,81.9435
2016-10-28,84.8392
2016-10-31,86.7696
2016-11-01,84.5063
2016-11-02,83.6077
2016-11-03,83.0751
2016-11-04,83.1084
2016-11-07,85.9708
2016-11-08,87.8347
2016-11-09,87.3354
2016-11-10,84.706
2016-11-11,85.8709
2016-11-14,86.47
2016-11-15,83.7075
2016-11-16,82.3097
2016-11-17,81.5108
2016-11-18,80.7786
2016-11-21,79.4806
2016-11-22,81.5774
2016-11-23,80.8119
2016-11-25,80.5789
2016-11-28,81.8437
2016-11-29,82.5426
2016-11-30,82.0433
2016-12-01,81.178
2016-12-02,82.4428
2016-12-05,82.8089
2016-12-06,83.175
2016-12-07,85.0389
2016-12-08,86.1372
2016-12-09,85.7378
2016-12-12,86.3036
2016-12-13,85.9708
2016-12-14,84.7393
2016-12-15,84.473
2016-12-16,86.6365
2016-12-19,87.0358
2016-12-20,86.9693
2016-12-21,86.5366
2016-12-22,86.936
2016-12-23,87.6017
2016-12-27,87.5684
2016-12-28,86.5033
2016-12-29,88.9585
2016-12-30,90.0348
2017-01-03,89.5303
2017-01-04,90.842
2017-01-05,91.6155
2017-01-06,91.9855
2017-01-09,91.75
2017-01-10,91.0437
2017-01-11,89.1267
2017-01-12,88.1177
2017-01-13,85.9652
2017-01-17,86.3352
2017-01-18,87.0078
2017-01-19,86.167
2017-01-20,86.5706
2017-01-23,88.454
2017-01-24,88.8913
2017-01-25,86.5706
2017-01-26,86.2343
2017-01-27,85.2253
2017-01-30,84.5526
2017-01-31,84.519
2017-02-01,84.4854
2017-02-02,84.8217
2017-02-03,85.4944
2017-02-06,85.0908
2017-02-07,85.8643
2017-02-08,87.0415
2017-02-09,86.806
2017-02-10,87.8486
2017-02-13,87.445
2017-02-14,85.2589
