# EastGroup Properties (EGP)  source=yahoo  generated=2026-06-22T11:38:52.657Z
date,value
2016-06-20,100
2016-06-21,99.8234
2016-06-22,100.2354
2016-06-23,101.1332
2016-06-24,99.3671
2016-06-27,98.6019
2016-06-28,100.0147
2016-06-29,101.5305
2016-06-30,101.4275
2016-07-01,102.4283
2016-07-05,102.8697
2016-07-06,103.0905
2016-07-07,102.1928
2016-07-08,104.724
2016-07-11,105.5923
2016-07-12,105.2833
2016-07-13,105.5482
2016-07-14,105.2833
2016-07-15,105.6218
2016-07-18,105.4893
2016-07-19,105.4599
2016-07-20,106.1368
2016-07-21,104.6799
2016-07-22,105.0037
2016-07-25,105.5188
2016-07-26,105.6512
2016-07-27,105.4746
2016-07-28,107.4025
2016-07-29,108.3443
2016-08-01,109.2126
2016-08-02,107.4025
2016-08-03,107.064
2016-08-04,107.1376
2016-08-05,106.9757
2016-08-08,106.5784
2016-08-09,107.4319
2016-08-10,107.9323
2016-08-11,107.0934
2016-08-12,108.0206
2016-08-15,107.6379
2016-08-16,106.387
2016-08-17,106.0927
2016-08-18,106.3135
2016-08-19,106.5195
2016-08-22,106.7991
2016-08-23,107.2259
2016-08-24,106.4606
2016-08-25,107.2406
2016-08-26,106.9316
2016-08-29,107.9911
2016-08-30,108.0206
2016-08-31,107.9911
2016-09-01,108.3885
2016-09-02,109.9043
2016-09-06,110.1693
2016-09-07,110.6254
2016-09-08,108.9624
2016-09-09,103.9294
2016-09-12,104.7829
2016-09-13,102.2075
2016-09-14,102.0309
2016-09-15,102.907
2016-09-16,103.9316
2016-09-19,105.1938
2016-09-20,105.4017
2016-09-21,107.7479
2016-09-22,109.3071
2016-09-23,109.2774
2016-09-26,109.7378
2016-09-27,108.8765
2016-09-28,111.49
2016-09-29,110.1238
2016-09-30,109.2329
2016-10-03,107.1242
2016-10-04,106.2036
2016-10-05,102.4615
2016-10-06,101.2736
2016-10-07,101.4666
2016-10-10,102.6694
2016-10-11,102.0755
2016-10-12,102.1497
2016-10-13,102.714
2016-10-14,102.5655
2016-10-17,103.0407
2016-10-18,103.5752
2016-10-19,103.4119
2016-10-20,103.5456
2016-10-21,103.4416
2016-10-24,104.1247
2016-10-25,103.1891
2016-10-26,101.0954
2016-10-27,98.957
2016-10-28,98.9719
2016-10-31,100.8429
2016-11-01,98.1403
2016-11-02,96.2841
2016-11-03,96.3287
2016-11-04,96.7742
2016-11-07,98.8234
2016-11-08,99.2095
2016-11-09,97.9473
2016-11-10,95.6456
2016-11-11,96.5069
2016-11-14,97.3087
2016-11-15,97.2197
2016-11-16,97.873
2016-11-17,97.7987
2016-11-18,98.6007
2016-11-21,97.7097
2016-11-22,100.0856
2016-11-23,100.1598
2016-11-25,100.9766
2016-11-28,101.0063
2016-11-29,102.4615
2016-11-30,101.4369
2016-12-01,101.3775
2016-12-02,103.1595
2016-12-05,104.1544
2016-12-06,105.0156
2016-12-07,108.8171
2016-12-08,109.1883
2016-12-09,109.6338
2016-12-12,109.6487
2016-12-13,110.7475
2016-12-14,106.3152
2016-12-15,106.5099
2016-12-16,108.5763
2016-12-19,109.2352
2016-12-20,109.6994
2016-12-21,109.1753
2016-12-22,108.8758
2016-12-23,109.1902
2016-12-27,109.1004
2016-12-28,108.6063
2016-12-29,109.894
2016-12-30,110.5679
2017-01-03,110.9272
2017-01-04,113.0835
2017-01-05,113.0086
2017-01-06,112.814
2017-01-09,111.3465
2017-01-10,110.9721
2017-01-11,110.5978
2017-01-12,111.3315
2017-01-13,111.1519
2017-01-17,111.7658
2017-01-18,112.799
2017-01-19,112.4845
2017-01-20,112.6642
2017-01-23,113.4578
2017-01-24,112.9937
2017-01-25,111.8406
2017-01-26,110.2983
2017-01-27,105.5965
2017-01-30,104.5932
2017-01-31,105.9708
2017-02-01,104.6531
2017-02-02,103.5301
2017-02-03,106.3901
2017-02-06,105.2671
2017-02-07,104.743
2017-02-08,105.1473
2017-02-09,105.881
2017-02-10,106.989
2017-02-13,107.5132
2017-02-14,107.0939
2017-02-15,106.5399
2017-02-16,107.034
2017-02-17,106.989
2017-02-21,108.9357
2017-02-22,108.4865
2017-02-23,109.939
2017-02-24,110.9871
2017-02-27,112.3049
2017-02-28,111.3165
2017-03-01,112.1851
2017-03-02,112.0054
2017-03-03,111.017
2017-03-06,110.0737
2017-03-07,109.4747
2017-03-08,107.3335
2017-03-09,105.4617
2017-03-10,105.4767
2017-03-13,105.7912
2017-03-14,105.7163
2017-03-15,108.3667
2017-03-16,108.5913
2017-03-17,109.325
2017-03-20,109.5817
2017-03-21,109.4005
2017-03-22,109.6573
2017-03-23,110.4124
2017-03-24,110.6993
2017-03-27,108.434
2017-03-28,109.1438
2017-03-29,109.2042
2017-03-30,110.5483
2017-03-31,111.0467
2017-04-03,111.3185
2017-04-04,112.5116
2017-04-05,112.6777
2017-04-06,113.7953
2017-04-07,115.0034
2017-04-10,115.9851
2017-04-11,117.3896
2017-04-12,118.19
2017-04-13,116.7855
2017-04-17,118.1296
2017-04-18,118.2958
2017-04-19,117.9484
2017-04-20,118.2958
2017-04-21,119.6097
2017-04-24,118.779
2017-04-25,119.3076
2017-04-26,119.1112
2017-04-27,119.5794
2017-04-28,118.1749
2017-05-01,119.0207
2017-05-02,117.9182
2017-05-03,116.9667
2017-05-04,117.4047
2017-05-05,118.4921
2017-05-08,117.9937
2017-05-09,117.2688
2017-05-10,118.0692
2017-05-11,117.0876
2017-05-12,117.1631
2017-05-15,117.9182
2017-05-16,118.9301
2017-05-17,120.0476
2017-05-18,120.2892
2017-05-19,121.6485
2017-05-22,121.8599
2017-05-23,122.9322
2017-05-24,122.6301
2017-05-25,122.9624
2017-05-26,122.464
2017-05-30,122.1317
2017-05-31,122.9926
2017-06-01,124.835
2017-06-02,126.5567
2017-06-05,125.9525
