# Extra Space Storage (EXR)  source=yahoo  generated=2026-05-04T12:11:48.247Z
date,value
2016-05-02,100
2016-05-03,102.3138
2016-05-04,104.0981
2016-05-05,104.4434
2016-05-06,106.4004
2016-05-09,107.4594
2016-05-10,108.2537
2016-05-11,105.6521
2016-05-12,107.5169
2016-05-13,107.022
2016-05-16,107.7127
2016-05-17,105.9974
2016-05-18,104.9729
2016-05-19,103.3153
2016-05-20,104.7887
2016-05-23,104.9269
2016-05-24,105.8708
2016-05-25,106.2046
2016-05-26,106.6421
2016-05-27,106.976
2016-05-31,107.022
2016-06-01,107.0565
2016-06-02,107.5285
2016-06-03,107.7012
2016-06-06,105.8018
2016-06-07,105.8708
2016-06-08,104.7542
2016-06-09,103.2232
2016-06-10,102.003
2016-06-13,101.8172
2016-06-14,100.0403
2016-06-15,101.3991
2016-06-16,102.0959
2016-06-17,101.1784
2016-06-20,101.3875
2016-06-21,101.4107
2016-06-22,101.5849
2016-06-23,101.0855
2016-06-24,100.8881
2016-06-27,104.8832
2016-06-28,106.242
2016-06-29,106.1026
2016-06-30,107.4731
2016-07-01,105.278
2016-07-05,108.2976
2016-07-06,107.3801
2016-07-07,106.8923
2016-07-08,108.2976
2016-07-11,108.7854
2016-07-12,108.5763
2016-07-13,109.61
2016-07-14,109.2964
2016-07-15,107.6705
2016-07-18,107.2756
2016-07-19,107.1246
2016-07-20,107.8214
2016-07-21,107.8795
2016-07-22,108.7273
2016-07-25,106.6833
2016-07-26,104.9877
2016-07-27,104.407
2016-07-28,99.8545
2016-07-29,99.9009
2016-08-01,100.5397
2016-08-02,98.9138
2016-08-03,96.4516
2016-08-04,95.2206
2016-08-05,95.7897
2016-08-08,95.569
2016-08-09,96.2775
2016-08-10,97.2762
2016-08-11,97.0324
2016-08-12,96.9046
2016-08-15,96.5213
2016-08-16,95.8825
2016-08-17,95.9058
2016-08-18,94.9651
2016-08-19,93.8269
2016-08-22,94.4773
2016-08-23,94.2799
2016-08-24,93.5715
2016-08-25,94.0593
2016-08-26,92.7701
2016-08-29,93.5831
2016-08-30,93.3741
2016-08-31,93.5482
2016-09-01,94.0824
2016-09-02,95.0696
2016-09-06,95.3135
2016-09-07,95.9987
2016-09-08,95.0812
2016-09-09,92.8166
2016-09-12,91.2022
2016-09-13,89.3489
2016-09-14,90.475
2016-09-15,91.214
2016-09-16,90.5571
2016-09-19,90.9794
2016-09-20,90.6979
2016-09-21,91.085
2016-09-22,93.1729
2016-09-23,93.865
2016-09-26,95.4603
2016-09-27,94.8738
2016-09-28,95.7301
2016-09-29,94.9207
2016-09-30,93.1495
2016-10-03,91.0967
2016-10-04,89.9589
2016-10-05,86.9559
2016-10-06,86.9325
2016-10-07,88.5278
2016-10-10,88.6803
2016-10-11,87.8826
2016-10-12,88.8679
2016-10-13,89.2433
2016-10-14,89.0674
2016-10-17,89.4897
2016-10-18,89.3723
2016-10-19,89.4897
2016-10-20,89.4662
2016-10-21,87.7653
2016-10-24,88.082
2016-10-25,88.3049
2016-10-26,89.4075
2016-10-27,82.8034
2016-10-28,84.563
2016-10-31,85.8064
2016-11-01,83.5894
2016-11-02,83.8944
2016-11-03,82.604
2016-11-04,84.0586
2016-11-07,86.909
2016-11-08,88.4222
2016-11-09,89.1378
2016-11-10,86.1465
2016-11-11,86.5219
2016-11-14,87.8005
2016-11-15,86.0879
2016-11-16,84.3049
2016-11-17,82.7096
2016-11-18,82.8269
2016-11-21,80.6803
2016-11-22,81.8885
2016-11-23,81.6891
2016-11-25,82.2052
2016-11-28,83.2257
2016-11-29,83.1084
2016-11-30,82.2991
2016-12-01,81.1847
2016-12-02,82.3225
2016-12-05,82.6158
2016-12-06,84.3401
2016-12-07,87.038
2016-12-08,88.1994
2016-12-09,87.9882
2016-12-12,87.6715
2016-12-13,86.9677
2016-12-14,86.1114
2016-12-15,85.815
2016-12-16,87.9728
2016-12-19,88.8501
2016-12-20,88.0913
2016-12-21,87.2377
2016-12-22,88.1625
2016-12-23,88.6367
2016-12-27,89.3718
2016-12-28,88.1387
2016-12-29,89.6207
2016-12-30,91.5771
2017-01-03,91.3518
2017-01-04,91.8379
2017-01-05,93.0354
2017-01-06,93.9009
2017-01-09,92.7864
2017-01-10,90.8538
2017-01-11,88.5063
2017-01-12,87.5104
2017-01-13,86.1351
2017-01-17,86.5975
2017-01-18,86.7516
2017-01-19,86.6686
2017-01-20,87.048
2017-01-23,88.9213
2017-01-24,89.0873
2017-01-25,87.463
2017-01-26,87.712
2017-01-27,86.7872
2017-01-30,85.7201
2017-01-31,85.4237
2017-02-01,84.9376
2017-02-02,85.9098
2017-02-03,86.5619
2017-02-06,86.799
2017-02-07,87.4037
2017-02-08,87.9609
2017-02-09,88.3403
2017-02-10,88.9213
2017-02-13,88.7434
2017-02-14,87.1429
2017-02-15,87.1903
2017-02-16,88.7671
2017-02-17,91.5889
2017-02-21,92.9168
2017-02-22,92.3833
2017-02-23,93.8297
2017-02-24,94.2447
2017-02-27,94.2684
2017-02-28,93.889
2017-03-01,94.6359
2017-03-02,94.1617
2017-03-03,93.7586
2017-03-06,94.2091
2017-03-07,93.6519
2017-03-08,93.2132
2017-03-09,90.3796
2017-03-10,88.613
2017-03-13,87.7624
2017-03-14,88.8167
2017-03-15,90.4581
2017-03-16,89.4757
2017-03-17,90.2904
2017-03-20,90.3024
2017-03-21,90.2305
2017-03-22,90.4222
2017-03-23,90.4581
2017-03-24,89.907
2017-03-27,89.2121
2017-03-28,89.5715
