# First Industrial (FR)  source=yahoo  generated=2026-07-20T08:44:30.179Z
date,value
2016-07-18,100
2016-07-19,100.8486
2016-07-20,101.1669
2016-07-21,101.0962
2016-07-22,101.2022
2016-07-25,100.9901
2016-07-26,100.7779
2016-07-27,100.2829
2016-07-28,101.7327
2016-07-29,104.2079
2016-08-01,104.7029
2016-08-02,103.2885
2016-08-03,102.5106
2016-08-04,103.041
2016-08-05,102.652
2016-08-08,101.9448
2016-08-09,102.7935
2016-08-10,103.2178
2016-08-11,102.3691
2016-08-12,103.2532
2016-08-15,102.7935
2016-08-16,101.4851
2016-08-17,101.8388
2016-08-18,101.0608
2016-08-19,101.1669
2016-08-22,101.5912
2016-08-23,102.1216
2016-08-24,100.4597
2016-08-25,101.0608
2016-08-26,100
2016-08-29,101.2022
2016-08-30,101.3083
2016-08-31,101.7327
2016-09-01,100.8133
2016-09-02,102.9703
2016-09-06,103.6068
2016-09-07,104.7029
2016-09-08,103.6068
2016-09-09,98.2673
2016-09-12,98.727
2016-09-13,95.4738
2016-09-14,96.1103
2016-09-15,96.6053
2016-09-16,97.4186
2016-09-19,98.6916
2016-09-20,97.7369
2016-09-21,99.5403
2016-09-22,101.1315
2016-09-23,101.4144
2016-09-26,101.6265
2016-09-27,101.0255
2016-09-28,102.6273
2016-09-29,100.8475
2016-09-30,100.4559
2016-10-03,98.6404
2016-10-04,96.7181
2016-10-05,93.372
2016-10-06,93.1228
2016-10-07,92.66
2016-10-10,94.4755
2016-10-11,92.7312
2016-10-12,94.0128
2016-10-13,94.2975
2016-10-14,94.4043
2016-10-17,94.7603
2016-10-18,95.2943
2016-10-19,95.935
2016-10-20,96.1842
2016-10-21,96.0418
2016-10-24,96.469
2016-10-25,96.0062
2016-10-26,94.5823
2016-10-27,92.7312
2016-10-28,91.4141
2016-10-31,94.0128
2016-11-01,91.7701
2016-11-02,91.2006
2016-11-03,90.275
2016-11-04,90.5598
2016-11-07,92.5888
2016-11-08,93.4788
2016-11-09,91.9481
2016-11-10,90.453
2016-11-11,90.2394
2016-11-14,91.2006
2016-11-15,90.809
2016-11-16,91.2362
2016-11-17,91.6633
2016-11-18,92.0549
2016-11-21,91.4497
2016-11-22,93.372
2016-11-23,93.3008
2016-11-25,93.6923
2016-11-28,94.2263
2016-11-29,95.5434
2016-11-30,94.1551
2016-12-01,92.6245
2016-12-02,93.7636
2016-12-05,95.0807
2016-12-06,96.0062
2016-12-07,97.9641
2016-12-08,98.1421
2016-12-09,98.3912
2016-12-12,99.3168
2016-12-13,99.7439
2016-12-14,96.9673
2016-12-15,96.5402
2016-12-16,98.1064
2016-12-19,98.9252
2016-12-20,100.0999
