# NY Fed Global Supply Chain Pressure Index  source=scrape:nyfed-gscpi  generated=2026-08-27T01:55:33.189Z
date,value
1998-01-31,-1.15
1998-02-28,-0.44
1998-03-31,-0.03
1998-04-30,-0.09
1998-05-31,-0.42
1998-06-30,-0.76
1998-07-31,-0.88
1998-08-31,-0.88
1998-09-30,-0.91
1998-10-31,-0.64
1998-11-30,-0.82
1998-12-31,-0.59
1999-01-31,-0.29
1999-02-28,-0.06
1999-03-31,-0.31
1999-04-30,-0.24
1999-05-31,-0.4
1999-06-30,-0.38
1999-07-31,-0.66
1999-08-31,-0.48
1999-09-30,-0.39
1999-10-31,-0.14
1999-11-30,-0.19
1999-12-31,-0.18
2000-01-31,-0.6
2000-02-29,-0.42
2000-03-31,-0.26
2000-04-30,0.14
2000-05-31,0.33
2000-06-30,0.09
2000-07-31,0.08
2000-08-31,0.18
2000-09-30,0.09
2000-10-31,-0.45
2000-11-30,-0.67
2000-12-31,-0.9
2001-01-31,-0.84
2001-02-28,-0.66
2001-03-31,-0.55
2001-04-30,-0.92
2001-05-31,-1.04
2001-06-30,-0.69
2001-07-31,-0.86
2001-08-31,-0.82
2001-09-30,-0.7
2001-10-31,-1.26
2001-11-30,-1.49
2001-12-31,-1.22
2002-01-31,-1.03
2002-02-28,-0.57
2002-03-31,-0.5
2002-04-30,-0.69
2002-05-31,-0.38
2002-06-30,-0.65
2002-07-31,-0.98
2002-08-31,-1.1
2002-09-30,-1.14
2002-10-31,-1.25
2002-11-30,-0.73
2002-12-31,-0.68
2003-01-31,-0.63
2003-02-28,-0.33
2003-03-31,-0.35
2003-04-30,-0.55
2003-05-31,-0.17
2003-06-30,-0.13
2003-07-31,-0.03
2003-08-31,-0.09
2003-09-30,0.05
2003-10-31,-0.31
2003-11-30,-0.46
2003-12-31,-0.4
2004-01-31,-0.55
2004-02-29,-0.43
2004-03-31,-0.06
2004-04-30,0.34
2004-05-31,0.28
2004-06-30,0.38
2004-07-31,-0.51
2004-08-31,0.08
2004-09-30,-0.05
2004-10-31,-0.65
2004-11-30,-0.04
2004-12-31,0.09
2005-01-31,-0.17
2005-02-28,-0.21
2005-03-31,-0.31
2005-04-30,-1.37
2005-05-31,-1.03
2005-06-30,-0.97
2005-07-31,-0.94
2005-08-31,-0.56
2005-09-30,0.02
2005-10-31,-0.15
2005-11-30,-0.74
2005-12-31,-0.8
2006-01-31,-0.45
2006-02-28,-0.82
2006-03-31,-0.44
2006-04-30,0.06
2006-05-31,0.09
2006-06-30,0.12
2006-07-31,-0.11
2006-08-31,0.05
2006-09-30,-0.65
2006-10-31,-0.52
2006-11-30,-0.23
2006-12-31,-0.46
