# Lineage (LINE)  source=yahoo  generated=2026-04-27T12:08:10.321Z
date,value
2024-07-25,100
2024-07-26,102.5997
2024-07-29,106.4496
2024-07-30,107.8485
2024-07-31,108.7893
2024-08-01,106.6601
2024-08-02,106.4496
2024-08-05,104.9888
2024-08-06,106.0906
2024-08-07,106.6725
2024-08-08,109.6435
2024-08-09,108.9007
2024-08-12,106.2887
2024-08-13,103.9985
2024-08-14,104.1347
2024-08-15,104.3823
2024-08-16,103.9552
2024-08-19,108.5417
2024-08-20,106.8582
2024-08-21,107.0314
2024-08-22,104.5061
2024-08-23,106.2392
2024-08-26,105.8059
2024-08-27,106.4991
2024-08-28,104.2832
2024-08-29,103.3424
2024-08-30,103.8624
2024-09-03,101.0894
2024-09-04,102.5749
2024-09-05,102.9091
2024-09-06,100.2847
2024-09-09,102.513
2024-09-10,101.3494
2024-09-11,101.2132
2024-09-12,102.0674
2024-09-13,103.0577
2024-09-16,102.2902
2024-09-17,102.0055
2024-09-18,102.0921
2024-09-19,101.6712
2024-09-20,100.2104
2024-09-23,99.8391
2024-09-24,98.7621
2024-09-25,97.7717
2024-09-26,96.8928
2024-09-27,96.9176
2024-09-30,97.5022
2024-10-01,95.4497
2024-10-02,94.4421
2024-10-03,95.4745
2024-10-04,95.6238
2024-10-07,93.3847
2024-10-08,93.8325
2024-10-09,92.402
2024-10-10,92.0412
2024-10-11,93.6335
2024-10-14,94.7531
2024-10-15,95.0765
2024-10-16,95.4124
2024-10-17,95.0765
2024-10-18,96.4697
2024-10-21,95.7855
2024-10-22,98.2113
2024-10-23,97.1663
2024-10-24,96.6439
2024-10-25,94.8401
2024-10-28,94.8277
2024-10-29,94.666
2024-10-30,93.5464
2024-10-31,92.1034
2024-11-01,89.9016
2024-11-04,90.2375
2024-11-05,91.0336
2024-11-06,84.3411
2024-11-07,84.6894
2024-11-08,83.7439
2024-11-11,83.0349
2024-11-12,81.6167
2024-11-13,80.5843
2024-11-14,78.5442
2024-11-15,79.0293
2024-11-18,79.1288
2024-11-19,78.9795
2024-11-20,79.4398
2024-11-21,78.3078
2024-11-22,79.7384
2024-11-25,81.6292
2024-11-26,80.323
