# Prologis (PLD)  source=yahoo  generated=2026-07-06T10:01:25.891Z
date,value
2016-07-05,100
2016-07-06,99.6568
2016-07-07,98.4053
2016-07-08,100.0202
2016-07-11,100.7469
2016-07-12,101.1102
2016-07-13,102.2406
2016-07-14,102.8664
2016-07-15,103.6132
2016-07-18,104.1986
2016-07-19,104.3802
2016-07-20,104.1582
2016-07-21,104.5216
2016-07-22,106.1162
2016-07-25,106.9641
2016-07-26,107.3879
2016-07-27,106.0153
2016-07-28,108.2559
2016-07-29,109.9919
2016-08-01,110.2341
2016-08-02,109.4065
2016-08-03,109.1239
2016-08-04,109.0028
2016-08-05,109.245
2016-08-08,108.4982
2016-08-09,109.4873
2016-08-10,109.8102
2016-08-11,109.0634
2016-08-12,109.7093
2016-08-15,109.3459
2016-08-16,108.7606
2016-08-17,108.1752
2016-08-18,107.832
2016-08-19,107.6302
2016-08-22,108.1954
2016-08-23,108.6395
2016-08-24,107.3678
2016-08-25,107.61
2016-08-26,106.0961
2016-08-29,107.3072
2016-08-30,107.2668
2016-08-31,107.2063
2016-09-01,107.0246
2016-09-02,108.9624
2016-09-06,109.2652
2016-09-07,110.1332
2016-09-08,109.0835
2016-09-09,103.9362
2016-09-12,105.9346
2016-09-13,103.2499
2016-09-14,103.9564
2016-09-15,104.3227
2016-09-16,104.7501
2016-09-19,106.6835
2016-09-20,106.3782
2016-09-21,108.4541
2016-09-22,110.6928
2016-09-23,110.9167
2016-09-26,110.591
2016-09-27,109.6752
2016-09-28,110.937
2016-09-29,109.4717
2016-09-30,108.9629
2016-10-03,107.1109
2016-10-04,104.1395
2016-10-05,102.7556
2016-10-06,102.1858
2016-10-07,101.3514
2016-10-10,101.9619
2016-10-11,101.1886
2016-10-12,102.1247
2016-10-13,104.221
2016-10-14,103.529
2016-10-17,104.2006
2016-10-18,105.9712
2016-10-19,106.4596
2016-10-20,107.2737
2016-10-21,106.6428
2016-10-24,107.4772
2016-10-25,107.1312
2016-10-26,105.9915
2016-10-27,103.7936
2016-10-28,103.936
2016-10-31,106.1543
2016-11-01,103.3458
2016-11-02,101.4531
2016-11-03,100.2931
2016-11-04,100.4152
2016-11-07,103.4273
2016-11-08,103.8953
2016-11-09,98.8684
2016-11-10,95.6732
2016-11-11,94.3911
2016-11-14,97.3217
2016-11-15,97.7695
2016-11-16,97.973
2016-11-17,97.7288
2016-11-18,99.6622
2016-11-21,99.5401
2016-11-22,101.2293
2016-11-23,101.1682
2016-11-25,101.1478
2016-11-28,102.9999
2016-11-29,104.689
2016-11-30,103.5901
2016-12-01,101.6566
2016-12-02,101.6566
2016-12-05,102.9795
2016-12-06,103.183
2016-12-07,106.887
2016-12-08,106.8056
2016-12-09,106.6225
2016-12-12,107.7621
2016-12-13,108.271
2016-12-14,105.3403
2016-12-15,105.2993
2016-12-16,107.6794
2016-12-19,107.6999
2016-12-20,107.6178
2016-12-21,106.4893
2016-12-22,106.4893
2016-12-23,106.1815
2016-12-27,106.7766
2016-12-28,105.7712
2016-12-29,107.2485
2016-12-30,108.3154
2017-01-03,108.3359
2017-01-04,110.2646
2017-01-05,110.3057
2017-01-06,111.0238
2017-01-09,110.1826
2017-01-10,107.6588
2017-01-11,107.2075
2017-01-12,108.1102
2017-01-13,107.31
2017-01-17,107.7819
2017-01-18,108.4385
2017-01-19,108.2538
2017-01-20,107.864
2017-01-23,108.3975
2017-01-24,106.3457
2017-01-25,106.2636
2017-01-26,104.5196
2017-01-27,101.052
2017-01-30,100.0056
2017-01-31,100.2313
2017-02-01,99.39
2017-02-02,100.6621
2017-02-03,103.0217
2017-02-06,101.3393
2017-02-07,99.9851
2017-02-08,101.2982
2017-02-09,101.4008
2017-02-10,102.8166
2017-02-13,102.5293
2017-02-14,102.4267
2017-02-15,101.3803
2017-02-16,102.8371
2017-02-17,102.9807
2017-02-21,104.1298
2017-02-22,103.2885
2017-02-23,103.7399
2017-02-24,104.8068
2017-02-27,105.8943
2017-02-28,104.7452
2017-03-01,104.6221
2017-03-02,104.7452
2017-03-03,104.9299
2017-03-06,103.8014
2017-03-07,103.7193
2017-03-08,102.4472
2017-03-09,101.1546
2017-03-10,101.3598
2017-03-13,102.043
2017-03-14,102.1879
2017-03-15,104.962
2017-03-16,104.962
2017-03-17,105.5417
2017-03-20,106.6389
2017-03-21,104.3617
2017-03-22,104.1546
2017-03-23,105.2932
2017-03-24,105.6452
2017-03-27,103.2437
2017-03-28,104.1339
2017-03-29,104.8378
2017-03-30,105.9557
2017-03-31,107.4049
2017-04-03,108.1502
2017-04-04,108.6885
2017-04-05,109.0404
2017-04-06,109.8478
2017-04-07,110.9244
2017-04-10,112.2079
2017-04-11,112.9946
2017-04-12,113.7192
2017-04-13,112.9739
2017-04-17,114.4024
2017-04-18,112.9532
2017-04-19,112.415
2017-04-20,112.8911
2017-04-21,112.5185
2017-04-24,112.4977
2017-04-25,113.5743
2017-04-26,112.7255
2017-04-27,113.6571
2017-04-28,112.6427
2017-05-01,113.3673
2017-05-02,113.036
2017-05-03,111.4212
2017-05-04,112.0216
2017-05-05,113.1602
2017-05-08,113.4501
2017-05-09,112.2079
2017-05-10,113.0982
2017-05-11,113.0774
2017-05-12,112.5185
2017-05-15,113.8641
2017-05-16,113.5122
2017-05-17,114.5473
2017-05-18,113.388
2017-05-19,114.361
2017-05-22,114.7129
2017-05-23,115.2926
2017-05-24,115.6652
2017-05-25,115.7274
2017-05-26,115.4996
2017-05-30,115.5824
2017-05-31,114.982
2017-06-01,115.7481
2017-06-02,117.7562
2017-06-05,116.7832
2017-06-06,116.9281
2017-06-07,117.5078
2017-06-08,116.8866
2017-06-09,118.2738
2017-06-12,119.609
2017-06-13,119.3169
2017-06-14,120.6522
2017-06-15,122.0709
2017-06-16,121.2781
2017-06-19,122.2378
2017-06-20,120.3184
2017-06-21,121.1112
2017-06-22,120.2558
2017-06-23,122.0917
2017-06-26,123.2183
2017-06-27,122.509
2017-06-28,123.4896
2017-06-29,122.4464
2017-06-30,122.3421
2017-07-03,123.4896
2017-07-05,122.1126
2017-07-06,119.5047
2017-07-07,120.4852
2017-07-10,119.5047
2017-07-11,118.7954
2017-07-12,120.5687
2017-07-13,120.068
2017-07-14,121.1738
2017-07-17,122.0917
2017-07-18,125.4299
2017-07-19,125.4299
2017-07-20,123.4479
2017-07-21,123.0723
2017-07-24,125.8054
2017-07-25,125.7428
2017-07-26,127.5579
2017-07-27,127.5997
2017-07-28,128.4133
2017-07-31,126.8695
2017-08-01,127.9752
2017-08-02,127.6831
2017-08-03,127.5162
2017-08-04,128.0169
2017-08-07,126.5356
2017-08-08,126.8069
2017-08-09,126.7234
2017-08-10,125.0543
2017-08-11,124.5745
2017-08-14,127.9543
2017-08-15,129.1227
2017-08-16,129.8737
2017-08-17,127.8917
2017-08-18,127.7457
2017-08-21,129.54
2017-08-22,128.7263
2017-08-23,131.0421
2017-08-24,129.9155
2017-08-25,130.5622
2017-08-28,130.2493
2017-08-29,129.7277
2017-08-30,130.3119
2017-08-31,132.1896
2017-09-01,133.0658
2017-09-05,132.5025
2017-09-06,131.7306
2017-09-07,132.9198
2017-09-08,133.4622
2017-09-11,135.8823
2017-09-12,134.9018
2017-09-13,133.5457
2017-09-14,136.2162
2017-09-15,136.9513
2017-09-18,136.5942
2017-09-19,136.0061
2017-09-20,135.7331
2017-09-21,135.1869
2017-09-22,133.7586
2017-09-25,134.4728
2017-09-26,133.7166
2017-09-27,132.1412
2017-09-28,133.4855
2017-09-29,133.2965
2017-10-02,133.5695
2017-10-03,133.7796
2017-10-04,134.5988
2017-10-05,135.628
2017-10-06,135.523
2017-10-09,136.1742
2017-10-10,135.9431
2017-10-11,135.481
2017-10-12,136.6993
2017-10-13,136.9723
2017-10-16,136.5312
2017-10-17,135.0819
2017-10-18,137.1824
2017-10-19,135.586
2017-10-20,135.355
2017-10-23,135.397
2017-10-24,134.5148
2017-10-25,134.4938
2017-10-26,134.9979
2017-10-27,135.8801
2017-10-30,134.5988
2017-10-31,135.649
2017-11-01,136.5312
2017-11-02,138.5057
2017-11-03,139.1989
2017-11-06,139.766
2017-11-07,139.745
2017-11-08,140.1441
2017-11-09,139.6399
2017-11-10,139.0938
2017-11-13,140.8792
2017-11-14,141.1313
2017-11-15,137.7705
2017-11-16,140.8372
2017-11-17,139.2619
2017-11-20,139.5559
2017-11-21,141.5724
2017-11-22,140.5011
2017-11-24,140.8582
2017-11-27,140.4592
2017-11-28,140.081
2017-11-29,138.9047
2017-11-30,139.1149
2017-12-01,139.0308
2017-12-04,138.5057
2017-12-05,135.355
2017-12-06,135.9431
2017-12-07,138.2536
2017-12-08,138.9678
2017-12-11,138.0646
2017-12-12,138.9888
2017-12-13,138.1276
2017-12-14,138.4427
2017-12-15,139.5211
2017-12-18,139.2674
2017-12-19,134.0232
2017-12-20,133.3254
2017-12-21,133.2407
2017-12-22,134.9748
2017-12-26,134.9536
2017-12-27,135.9263
2017-12-28,136.9413
2017-12-29,136.4127
2018-01-02,135.3554
2018-01-03,135.1016
2018-01-04,132.3949
2018-01-05,132.2892
2018-01-08,133.8329
2018-01-09,132.4795
2018-01-10,129.9208
2018-01-11,130.3649
2018-01-12,130.7878
2018-01-16,131.401
2018-01-17,132.9236
2018-01-18,129.8997
2018-01-19,130.6398
2018-01-22,133.4522
2018-01-23,137.3854
2018-01-24,136.3492
2018-01-25,135.7994
2018-01-26,136.1589
2018-01-29,134.0443
2018-01-30,133.0082
2018-01-31,137.6814
2018-02-01,134.7421
2018-02-02,134.9748
2018-02-05,129.4345
2018-02-06,128.4406
2018-02-07,126.9604
2018-02-08,123.3445
2018-02-09,127.5525
2018-02-12,127.193
2018-02-13,129.3288
2018-02-14,128.0177
2018-02-15,129.8574
2018-02-16,131.0627
2018-02-20,129.4767
2018-02-21,126.6855
2018-02-22,126.749
2018-02-23,129.5402
2018-02-26,129.646
2018-02-27,127.6371
2018-02-28,128.3138
2018-03-01,128.3983
2018-03-02,127.341
2018-03-05,129.1807
2018-03-06,130.2592
2018-03-07,130.9358
2018-03-08,131.9086
2018-03-09,134.6787
2018-03-12,134.4038
2018-03-13,134.002
2018-03-14,134.7052
2018-03-15,135.1739
2018-03-16,136.0049
2018-03-19,134.9608
2018-03-20,135.4722
2018-03-21,133.448
2018-03-22,131.4878
2018-03-23,128.0786
2018-03-26,130.465
2018-03-27,132.1909
2018-03-28,133.2349
2018-03-29,134.2151
2018-04-02,130.8272
2018-04-03,131.5304
2018-04-04,132.4253
2018-04-05,131.5943
2018-04-06,130.4863
2018-04-09,130.6568
2018-04-10,131.2534
2018-04-11,131.296
2018-04-12,131.3386
2018-04-13,132.6596
2018-04-16,133.3841
2018-04-17,139.1371
2018-04-18,139.9042
2018-04-19,138.9879
2018-04-20,138.4766
2018-04-23,138.2422
2018-04-24,138.9666
2018-04-25,137.7308
2018-04-26,140.3516
2018-04-27,141.8645
2018-04-30,138.3061
2018-05-01,138.647
2018-05-02,137.9652
2018-05-03,138.0717
2018-05-04,139.0305
2018-05-07,139.5419
2018-05-08,138.9027
2018-05-09,138.9666
2018-05-10,139.755
2018-05-11,139.201
2018-05-14,138.9453
2018-05-15,136.8359
2018-05-16,135.0887
2018-05-17,134.833
2018-05-18,134.7478
2018-05-21,135.9836
2018-05-22,135.8771
2018-05-23,138.0078
2018-05-24,137.3899
2018-05-25,137.2407
2018-05-29,137.0276
2018-05-30,138.0717
2018-05-31,137.1129
2018-06-01,138.7323
2018-06-04,141.1613
2018-06-05,140.7138
2018-06-06,140.5008
2018-06-07,140.5434
2018-06-08,140.5221
2018-06-11,139.5206
2018-06-12,139.5846
2018-06-13,137.8674
2018-06-14,138.2752
2018-06-15,137.2664
2018-06-18,137.7386
2018-06-19,136.3219
2018-06-20,137.6098
2018-06-21,137.2664
2018-06-22,138.0391
2018-06-25,137.6742
2018-06-26,137.4166
2018-06-27,138.2537
2018-06-28,139.8421
2018-06-29,141.0012
2018-07-02,138.4899
2018-07-03,139.6275
2018-07-05,141.6237
2018-07-06,142.0959
2018-07-09,141.2373
2018-07-10,141.3017
2018-07-11,140.3788
2018-07-12,140.9583
2018-07-13,140.6578
2018-07-16,139.606
2018-07-17,136.1287
2018-07-18,135.1629
2018-07-19,136.3005
2018-07-20,134.0252
2018-07-23,134.3043
2018-07-24,133.8535
2018-07-25,136.8586
2018-07-26,139.8207
2018-07-27,139.5202
2018-07-30,139.5202
2018-07-31,140.851
2018-08-01,141.9027
2018-08-02,141.3447
2018-08-03,143.4053
2018-08-06,142.6969
2018-08-07,140.9368
2018-08-08,141.0227
2018-08-09,140.3144
2018-08-10,138.5972
2018-08-13,138.2967
2018-08-14,137.481
2018-08-15,138.4684
2018-08-16,140.9154
2018-08-17,144.7361
2018-08-20,145.4229
2018-08-21,141.13
2018-08-22,139.8636
2018-08-23,138.5113
2018-08-24,141.8598
2018-08-27,141.5807
2018-08-28,144.5429
2018-08-29,144.2638
2018-08-30,143.5555
2018-08-31,144.1994
2018-09-04,142.1603
2018-09-05,144.3282
2018-09-06,144.1994
2018-09-07,141.6666
2018-09-10,142.8257
2018-09-11,142.5037
2018-09-12,142.5896
2018-09-13,145.0795
2018-09-14,145.3389
2018-09-17,145.9658
2018-09-18,144.258
2018-09-19,142.5718
2018-09-20,145.62
2018-09-21,145.901
2018-09-24,143.3717
2018-09-25,143.5014
2018-09-26,142.6582
2018-09-27,143.6743
2018-09-28,146.5496
2018-10-01,145.3605
2018-10-02,143.5878
2018-10-03,142.7447
2018-10-04,141.6638
2018-10-05,141.0369
2018-10-08,143.1123
2018-10-09,144.9714
2018-10-10,141.7287
2018-10-11,135.8485
2018-10-12,135.2
2018-10-15,136.3458
2018-10-16,138.0536
2018-10-17,135.8918
2018-10-18,136.3458
2018-10-19,137.4699
2018-10-22,136.7565
2018-10-23,138.4427
2018-10-24,141.1017
2018-10-25,142.4421
2018-10-26,139.2858
2018-10-29,141.1666
2018-10-30,141.8584
2018-10-31,139.3723
2018-11-01,139.9992
2018-11-02,139.1129
2018-11-05,140.6694
2018-11-06,142.4853
2018-11-07,145.0146
2018-11-08,145.1011
2018-11-09,146.0739
2018-11-12,146.4847
2018-11-13,146.0307
2018-11-14,146.0523
2018-11-15,144.2364
2018-11-16,145.5118
2018-11-19,146.355
2018-11-20,144.1931
2018-11-21,144.6687
2018-11-23,144.7552
2018-11-26,143.4582
2018-11-27,144.1067
2018-11-28,145.5984
2018-11-29,145.2308
2018-11-30,145.5767
2018-12-03,148.4087
2018-12-04,144.539
2018-12-06,148.0412
2018-12-07,144.4958
2018-12-10,142.5502
2018-12-11,143.6959
2018-12-12,139.7398
2018-12-13,140.7775
2018-12-14,140.1073
2018-12-17,133.9873
2018-12-18,136.4048
2018-12-19,133.3992
2018-12-20,131.4826
2018-12-21,128.2157
2018-12-24,121.8344
2018-12-26,126.2556
2018-12-27,126.3209
2018-12-28,127.3881
2018-12-31,127.8891
2019-01-02,124.2083
2019-01-03,123.2064
2019-01-04,126.3209
2019-01-07,128.3682
2019-01-08,132.637
2019-01-09,133.5299
2019-01-10,135.8604
2019-01-11,135.8168
2019-01-14,135.795
2019-01-15,137.668
2019-01-16,138.3867
2019-01-17,139.4975
2019-01-18,140.9131
2019-01-22,141.0874
2019-01-23,141.719
2019-01-24,140.9785
2019-01-25,143.7663
2019-01-28,145.2908
2019-01-29,147.0985
2019-01-30,148.9498
2019-01-31,150.6268
2019-02-01,151.1713
2019-02-04,151.694
2019-02-05,152.3256
2019-02-06,151.3237
2019-02-07,153.3928
2019-02-08,154.264
2019-02-11,154.7213
2019-02-12,153.763
2019-02-13,154.2422
2019-02-14,154.3075
2019-02-15,155.048
2019-02-19,155.4618
2019-02-20,153.1532
2019-02-21,154.6996
2019-02-22,155.9845
2019-02-25,155.2005
2019-02-26,154.7213
2019-02-27,152.8048
2019-02-28,152.587
2019-03-01,152.1949
2019-03-04,153.1967
2019-03-05,153.1967
2019-03-06,152.8265
2019-03-07,151.4108
2019-03-08,152.3256
2019-03-11,154.6124
2019-03-12,155.9845
2019-03-13,157.6398
