# LA-Long Beach - Container Imports (TEU)  source=scrape:imf-portwatch  generated=2026-07-13T08:54:17.355Z
date,value
2019-01-01,9555898
2019-02-01,7814756
2019-03-01,6532132
2019-04-01,8134607
2019-05-01,8616785
2019-06-01,8731146
2019-07-01,9474248
2019-08-01,9125574
2019-09-01,9087714
2019-10-01,8758924
2019-11-01,7976158
2019-12-01,8363567
2020-01-01,8697438
2020-02-01,6126924
2020-03-01,5458492
2020-04-01,7484167
2020-05-01,7427504
2020-06-01,8035511
2020-07-01,9994805
2020-08-01,10573738
2020-09-01,10529383
2020-10-01,10908840
2020-11-01,10170625
2020-12-01,10391852
2021-01-01,9619611
2021-02-01,9440292
2021-03-01,10780003
2021-04-01,10284438
2021-05-01,11765988
2021-06-01,9895232
2021-07-01,10207447
2021-08-01,10717684
2021-09-01,10059991
2021-10-01,10228317
2021-11-01,9190887
2021-12-01,8928115
2022-01-01,9798889
2022-02-01,9769838
2022-03-01,11066586
2022-04-01,10290035
2022-05-01,11243670
2022-06-01,10321225
2022-07-01,10339992
2022-08-01,9457811
2022-09-01,8234006
2022-10-01,7563062
2022-11-01,6793992
2022-12-01,7124495
2023-01-01,7625488
2023-02-01,6052811
2023-03-01,7185082
2023-04-01,7885821
2023-05-01,9250075
2023-06-01,8515748
2023-07-01,7623904
2023-08-01,9104261
2023-09-01,9618600
2023-10-01,8829562
2023-11-01,8876357
2023-12-01,8376198
2024-01-01,9205639
2024-02-01,8863771
2024-03-01,8185233
2024-04-01,9379267
2024-05-01,8831437
2024-06-01,10181799
2024-07-01,11236623
2024-08-01,11588047
2024-09-01,10977925
2024-10-01,11403999
2024-11-01,10692132
2024-12-01,10485766
2025-01-01,11466017
2025-02-01,9379812
2025-03-01,9189859
2025-04-01,10255053
2025-05-01,7861151
2025-06-01,9780453
2025-07-01,12141951
2025-08-01,11287585
2025-09-01,10124120
2025-10-01,9974701
2025-11-01,9630079
2025-12-01,9748262
2026-01-01,9972469
2026-02-01,9558962
2026-03-01,9062409
2026-04-01,10139277
2026-05-01,10367960
2026-06-01,10540080
