# NY-NJ - Container Imports (TEU)  source=scrape:imf-portwatch  generated=2026-07-27T09:35:45.574Z
date,value
2019-01-01,3925235
2019-02-01,3521794
2019-03-01,3369805
2019-04-01,3573883
2019-05-01,4088145
2019-06-01,3620481
2019-07-01,4043651
2019-08-01,4110476
2019-09-01,3790376
2019-10-01,4073300
2019-11-01,3613461
2019-12-01,3467554
2020-01-01,3871702
2020-02-01,3605327
2020-03-01,3258118
2020-04-01,3408875
2020-05-01,3192034
2020-06-01,3168634
2020-07-01,3912933
2020-08-01,4402629
2020-09-01,4495772
2020-10-01,4837221
2020-11-01,4594929
2020-12-01,4299885
2021-01-01,4456688
2021-02-01,4010100
2021-03-01,4717893
2021-04-01,4311166
2021-05-01,4756990
2021-06-01,4641237
2021-07-01,4727324
2021-08-01,4796577
2021-09-01,4550263
2021-10-01,4782403
2021-11-01,4584874
2021-12-01,4708161
2022-01-01,4778567
2022-02-01,4626453
2022-03-01,5315698
2022-04-01,5035879
2022-05-01,5117059
2022-06-01,5289632
2022-07-01,4835613
2022-08-01,5144638
2022-09-01,5081073
2022-10-01,4589418
2022-11-01,4195881
2022-12-01,3643140
2023-01-01,3887755
2023-02-01,3459754
2023-03-01,3433690
2023-04-01,3851363
2023-05-01,4217147
2023-06-01,3920159
2023-07-01,4465655
2023-08-01,4187037
2023-09-01,4068383
2023-10-01,4580841
2023-11-01,3894118
2023-12-01,3916931
2024-01-01,4113465
2024-02-01,3986854
2024-03-01,4239116
2024-04-01,4197491
2024-05-01,4965981
2024-06-01,4393175
2024-07-01,5066529
2024-08-01,4748230
2024-09-01,4577266
2024-10-01,4563454
2024-11-01,4240377
2024-12-01,4182751
2025-01-01,4543567
2025-02-01,4283002
2025-03-01,4551520
2025-04-01,4632618
2025-05-01,4577487
2025-06-01,4157803
2025-07-01,5041558
2025-08-01,4992092
2025-09-01,4365462
2025-10-01,4421252
2025-11-01,4587415
2025-12-01,3958952
2026-01-01,4475662
2026-02-01,3609817
2026-03-01,5105420
2026-04-01,4084367
2026-05-01,4811929
2026-06-01,4396682
