# Public Storage (PSA)  source=yahoo  generated=2026-08-17T06:37:32.240Z
date,value
2016-08-15,100
2016-08-16,99.3234
2016-08-17,99.4806
2016-08-18,98.9742
2016-08-19,97.7913
2016-08-22,98.9917
2016-08-23,98.8738
2016-08-24,97.7476
2016-08-25,98.5377
2016-08-26,97.7782
2016-08-29,98.5377
2016-08-30,97.6778
2016-08-31,97.752
2016-09-01,98.6992
2016-09-02,98.9961
2016-09-06,97.9397
2016-09-07,98.6206
2016-09-08,97.3417
2016-09-09,95.4123
2016-09-12,96.3894
2016-09-13,94.5188
2016-09-14,94.6729
2016-09-15,94.5409
2016-09-16,94.6113
2016-09-19,95.0998
2016-09-20,95.4387
2016-09-21,95.7424
2016-09-22,97.6218
2016-09-23,97.7626
2016-09-26,98.5681
2016-09-27,98.1235
2016-09-28,99.3955
2016-09-29,99.0258
2016-09-30,98.2116
2016-10-03,95.3155
2016-10-04,93.599
2016-10-05,91.9397
2016-10-06,92.974
2016-10-07,93.3305
2016-10-10,93.128
2016-10-11,92.305
2016-10-12,93.6474
2016-10-13,94.29
2016-10-14,94.2768
2016-10-17,94.6773
2016-10-18,94.9942
2016-10-19,94.7125
2016-10-20,94.2416
2016-10-21,92.8903
2016-10-24,93.0884
2016-10-25,93.4626
2016-10-26,93.8719
2016-10-27,89.0172
2016-10-28,91.4379
2016-10-31,94.0655
2016-11-01,90.5444
2016-11-02,90.342
2016-11-03,89.6817
2016-11-04,90.4212
2016-11-07,93.1896
2016-11-08,95.2363
2016-11-09,95.7116
2016-11-10,94.5144
2016-11-11,94.268
2016-11-14,95.2671
2016-11-15,93.3613
2016-11-16,91.6404
2016-11-17,90.0559
2016-11-18,89.7742
2016-11-21,88.8763
2016-11-22,90.2716
2016-11-23,90.1219
2016-11-25,90.5488
2016-11-28,92.2037
2016-11-29,92.2566
2016-11-30,92.1201
2016-12-01,91.4863
2016-12-02,92.1993
2016-12-05,93.5065
2016-12-06,94.5012
2016-12-07,97.2741
