# Industrial REIT Basket (Equal-Weight)  source=yahoo  generated=2026-06-08T10:22:00.909Z
date,value
2016-06-06,100
2016-06-07,100.7617
2016-06-08,102.2185
2016-06-09,104.0416
2016-06-10,103.9527
2016-06-13,103.5344
2016-06-14,102.9693
2016-06-15,104.3472
2016-06-16,105.2638
2016-06-17,104.9908
2016-06-20,104.9339
2016-06-21,105.2267
2016-06-22,105.0181
2016-06-23,105.5359
2016-06-24,104.4501
2016-06-27,102.9278
2016-06-28,104.7914
2016-06-29,106.8168
2016-06-30,107.2935
2016-07-01,107.2453
2016-07-05,108.273
2016-07-06,108.2277
2016-07-07,106.5576
2016-07-08,108.609
2016-07-11,109.5301
2016-07-12,109.3815
2016-07-13,110.0253
2016-07-14,109.2412
2016-07-15,110.2054
2016-07-18,110.555
2016-07-19,111.5175
2016-07-20,112.0377
2016-07-21,111.6386
2016-07-22,112.1634
2016-07-25,112.3384
2016-07-26,112.1804
2016-07-27,111.9128
2016-07-28,113.7118
2016-07-29,115.7913
2016-08-01,116.0647
2016-08-02,114.1867
2016-08-03,113.474
2016-08-04,113.6152
2016-08-05,113.3511
2016-08-08,112.6326
2016-08-09,113.8222
2016-08-10,114.0907
2016-08-11,113.5814
2016-08-12,113.9792
2016-08-15,113.5578
2016-08-16,112.3928
2016-08-17,112.3312
2016-08-18,112.3567
2016-08-19,111.9731
2016-08-22,112.4114
2016-08-23,112.8691
2016-08-24,111.6925
2016-08-25,112.8365
2016-08-26,111.8713
2016-08-29,113.1798
2016-08-30,113.2897
2016-08-31,113.2425
2016-09-01,113.2023
2016-09-02,114.9359
2016-09-06,115.1362
2016-09-07,116.054
2016-09-08,114.8624
2016-09-09,109.7646
2016-09-12,110.755
2016-09-13,107.8869
2016-09-14,108.134
2016-09-15,108.4224
2016-09-16,109.4491
2016-09-19,111.1557
2016-09-20,111.0561
2016-09-21,113.0508
2016-09-22,115.1356
2016-09-23,115.5677
2016-09-26,115.7814
2016-09-27,114.7652
2016-09-28,116.1354
2016-09-29,114.6903
2016-09-30,114.4696
2016-10-03,112.3382
2016-10-04,110.2203
2016-10-05,106.615
2016-10-06,106.5539
2016-10-07,105.9798
2016-10-10,107.5586
2016-10-11,106.0326
2016-10-12,107.2807
2016-10-13,108.586
2016-10-14,108.4705
2016-10-17,109.048
2016-10-18,109.9948
2016-10-19,110.2139
2016-10-20,110.3751
2016-10-21,110.1034
2016-10-24,110.7101
2016-10-25,110.2121
2016-10-26,108.2711
2016-10-27,106.1001
2016-10-28,105.8141
2016-10-31,107.8784
2016-11-01,105.1996
2016-11-02,103.88
2016-11-03,103.0505
2016-11-04,103.6172
2016-11-07,106.01
2016-11-08,106.6637
2016-11-09,104.6229
2016-11-10,102.1497
