# Rexford Industrial (REXR)  source=yahoo  generated=2026-08-31T12:18:42.301Z
date,value
2016-08-29,100
2016-08-30,99.8655
2016-08-31,100.1346
2016-09-01,100.852
2016-09-02,102.3319
2016-09-06,102.1973
2016-09-07,103.0493
2016-09-08,101.6144
2016-09-09,97.1749
2016-09-12,98.3408
2016-09-13,96.1435
2016-09-14,96.3229
2016-09-15,95.8745
2016-09-16,96.2332
2016-09-19,98.4754
2016-09-20,98.6098
2016-09-21,99.7758
2016-09-22,102.287
2016-09-23,103.5426
2016-09-26,103.9013
2016-09-27,103.4529
2016-09-28,103.9716
2016-09-29,103.295
2016-09-30,103.2499
2016-10-03,100.769
2016-10-04,99.2805
2016-10-05,96.9801
2016-10-06,96.935
2016-10-07,96.2132
2016-10-10,98.2431
2016-10-11,96.0779
2016-10-12,97.792
2016-10-13,99.0099
2016-10-14,98.649
2016-10-17,99.1903
2016-10-18,100.1375
2016-10-19,100.2728
2016-10-20,99.912
2016-10-21,99.1903
2016-10-24,99.0099
2016-10-25,98.1529
2016-10-26,96.5741
2016-10-27,94.9953
2016-10-28,94.409
2016-10-31,94.9953
2016-11-01,93.2813
2016-11-02,92.7851
2016-11-03,92.7851
2016-11-04,93.2362
2016-11-07,94.8149
2016-11-08,94.9953
2016-11-09,93.2813
2016-11-10,92.3341
2016-11-11,91.4319
2016-11-14,94.86
2016-11-15,94.4992
2016-11-16,95.6268
2016-11-17,96.2132
2016-11-18,99.2805
2016-11-21,98.5588
2016-11-22,101.6261
2016-11-23,100.0925
2016-11-25,100.2277
2016-11-28,100.2728
2016-11-29,101.2652
2016-11-30,99.6414
2016-12-01,98.198
2016-12-02,98.0626
2016-12-05,99.1001
2016-12-06,99.2354
2016-12-07,101.0848
2016-12-08,103.5657
2016-12-09,103.7912
2016-12-12,104.3776
2016-12-13,104.8287
2016-12-14,101.8967
2016-12-15,102.6636
2016-12-16,104.4678
2016-12-19,104.4678
2016-12-20,104.964
2016-12-21,104.1521
2016-12-22,103.8363
2016-12-23,104.4227
2016-12-27,104.3776
2016-12-28,103.0391
2016-12-29,104.6725
2016-12-30,105.217
2017-01-03,105.6254
2017-01-04,108.3477
2017-01-05,108.756
2017-01-06,109.5727
2017-01-09,108.6198
2017-01-10,108.3477
2017-01-11,107.3494
2017-01-12,107.5309
2017-01-13,106.5781
2017-01-17,107.5309
2017-01-18,108.2115
2017-01-19,106.5328
2017-01-20,107.8939
2017-01-23,108.8468
2017-01-24,109.1643
2017-01-25,108.6198
2017-01-26,107.1226
2017-01-27,103.629
2017-01-30,102.1317
2017-01-31,103.0391
2017-02-01,101.6326
2017-02-02,102.1771
2017-02-03,104.1281
2017-02-06,102.1771
2017-02-07,100.5437
2017-02-08,101.4965
2017-02-09,101.9956
2017-02-10,103.2206
2017-02-13,102.903
2017-02-14,102.8577
2017-02-15,101.9956
2017-02-16,102.903
2017-02-17,103.992
2017-02-21,105.6254
2017-02-22,104.8086
2017-02-23,104.4911
2017-02-24,105.2624
2017-02-27,105.5346
2017-02-28,104.2642
2017-03-01,104.5365
2017-03-02,104.2188
2017-03-03,103.4022
2017-03-06,102.1317
2017-03-07,101.8595
2017-03-08,100.1807
2017-03-09,98.5473
2017-03-10,98.2298
2017-03-13,98.2752
2017-03-14,97.7307
2017-03-15,99.6362
2017-03-16,99.727
2017-03-17,100.3168
2017-03-20,99.9085
2017-03-21,99.8178
2017-03-22,99.2733
2017-03-23,100.6344
2017-03-24,101.4965
2017-03-27,100.0446
2017-03-28,100.4529
2017-03-29,101.2065
2017-03-30,101.3892
2017-03-31,102.8507
2017-04-03,103.2161
2017-04-04,103.9924
2017-04-05,104.7688
2017-04-06,106.413
2017-04-07,107.5091
2017-04-10,108.7422
2017-04-11,110.7061
2017-04-12,111.3454
2017-04-13,111.1628
2017-04-17,112.6699
2017-04-18,112.3502
2017-04-19,112.3045
2017-04-20,112.6699
2017-04-21,113.2636
2017-04-24,112.3502
2017-04-25,113.766
2017-04-26,114.7708
2017-04-27,115.4101
2017-04-28,113.903
2017-05-01,115.0448
2017-05-02,114.2227
