# Suez Canal Monthly Transits  source=scrape:imf-portwatch  generated=2026-08-31T12:18:46.575Z
date,value
2019-01-01,1543
2019-02-01,1416
2019-03-01,1544
2019-04-01,1572
2019-05-01,1606
2019-06-01,1493
2019-07-01,1606
2019-08-01,1714
2019-09-01,1593
2019-10-01,1764
2019-11-01,1609
2019-12-01,1689
2020-01-01,1769
2020-02-01,1586
2020-03-01,1671
2020-04-01,1732
2020-05-01,1623
2020-06-01,1399
2020-07-01,1468
2020-08-01,1578
2020-09-01,1567
2020-10-01,1660
2020-11-01,1638
2020-12-01,1619
2021-01-01,1624
2021-02-01,1575
2021-03-01,1495
2021-04-01,1811
2021-05-01,1752
2021-06-01,1660
2021-07-01,1725
2021-08-01,1925
2021-09-01,1892
2021-10-01,1897
2021-11-01,1890
2021-12-01,1821
2022-01-01,1829
2022-02-01,1760
2022-03-01,1871
2022-04-01,1943
2022-05-01,1981
2022-06-01,2032
2022-07-01,2202
2022-08-01,2214
2022-09-01,2081
2022-10-01,2195
2022-11-01,2145
2022-12-01,2245
2023-01-01,2200
2023-02-01,1962
2023-03-01,2225
2023-04-01,2319
2023-05-01,2400
2023-06-01,2258
2023-07-01,2212
2023-08-01,2218
2023-09-01,2227
2023-10-01,2363
2023-11-01,2297
2023-12-01,2214
2024-01-01,1489
2024-02-01,1229
2024-03-01,1205
2024-04-01,1226
2024-05-01,1262
2024-06-01,1169
2024-07-01,1193
2024-08-01,1250
2024-09-01,1123
2024-10-01,1164
2024-11-01,1080
2024-12-01,1108
2025-01-01,1151
2025-02-01,956
2025-03-01,1156
2025-04-01,1111
2025-05-01,1147
2025-06-01,1100
2025-07-01,1178
2025-08-01,1198
2025-09-01,1262
2025-10-01,1281
2025-11-01,1288
2025-12-01,1242
2026-01-01,1211
2026-02-01,1158
2026-03-01,1271
2026-04-01,1264
2026-05-01,1212
2026-06-01,1212
2026-07-01,1298
