# Terreno Realty (TRNO)  source=yahoo  generated=2026-06-01T11:14:52.821Z
date,value
2016-05-31,100
2016-06-01,100.3759
2016-06-02,100.7519
2016-06-03,100.6266
2016-06-06,100.2506
2016-06-07,100.6683
2016-06-08,101.1696
2016-06-09,103.2999
2016-06-10,102.8822
2016-06-13,102.8404
2016-06-14,103.3835
2016-06-15,105.472
2016-06-16,105.8897
2016-06-17,105.1378
2016-06-20,104.8872
2016-06-21,105.1378
2016-06-22,103.9683
2016-06-23,105.1796
2016-06-24,105.0961
2016-06-27,105.0125
2016-06-28,106.5581
2016-06-29,106.8922
2016-06-30,108.0618
2016-07-01,107.2682
2016-07-05,108.0674
2016-07-06,108.1515
2016-07-07,106.6372
2016-07-08,108.1515
2016-07-11,108.6984
2016-07-12,108.7405
2016-07-13,109.7921
2016-07-14,109.3714
2016-07-15,109.1611
2016-07-18,109.2873
2016-07-19,111.3486
2016-07-20,112.3161
2016-07-21,112.4002
2016-07-22,112.4843
2016-07-25,111.8954
2016-07-26,111.3486
2016-07-27,112.8629
2016-07-28,114.4615
2016-07-29,117.1537
2016-08-01,116.6068
2016-08-02,114.2932
2016-08-03,113.9146
2016-08-04,112.905
2016-08-05,113.3677
2016-08-08,112.8209
2016-08-09,113.7884
2016-08-10,114.2511
2016-08-11,114.0828
2016-08-12,113.4518
2016-08-15,113.0312
2016-08-16,111.7693
2016-08-17,112.0637
2016-08-18,112.4002
2016-08-19,111.601
2016-08-22,111.8954
2016-08-23,111.8113
2016-08-24,110.6755
2016-08-25,113.0312
2016-08-26,112.4002
2016-08-29,112.6106
2016-08-30,113.4518
2016-08-31,112.5685
2016-09-01,112.9891
2016-09-02,114.2511
2016-09-06,114.3352
2016-09-07,115.3869
2016-09-08,114.7559
2016-09-09,111.5589
2016-09-12,112.5264
2016-09-13,111.2645
2016-09-14,111.1382
2016-09-15,111.1382
2016-09-16,113.1153
2016-09-19,114.5456
2016-09-20,114.3773
2016-09-21,115.5551
2016-09-22,117.8267
2016-09-23,118.1212
2016-09-26,118.2894
2016-09-27,116.5227
2016-09-28,116.3544
2016-09-29,115.1345
2016-09-30,115.7234
2016-10-03,113.9987
2016-10-04,112.4843
2016-10-05,106.6779
2016-10-06,109.5599
2016-10-07,108.246
2016-10-10,109.348
2016-10-11,107.2289
2016-10-12,109.1361
2016-10-13,110.6619
2016-10-14,110.7043
2016-10-17,111.5943
2016-10-18,112.1453
2016-10-19,112.0605
2016-10-20,111.9334
2016-10-21,112.3148
2016-10-24,113.6287
2016-10-25,113.3744
2016-10-26,110.0685
2016-10-27,108.1613
2016-10-28,108.2037
2016-10-31,110.6195
2016-11-01,107.6527
2016-11-02,106.3388
2016-11-03,105.5759
2016-11-04,106.3388
2016-11-07,108.458
2016-11-08,109.3904
2016-11-09,109.8566
2016-11-10,106.7203
2016-11-11,108.0765
2016-11-14,108.7123
2016-11-15,108.7123
2016-11-16,109.6023
2016-11-17,110.3652
2016-11-18,111.2976
2016-11-21,111.891
2016-11-22,114.2644
2016-11-23,112.8234
2016-11-25,113.1625
2016-11-28,113.5863
2016-11-29,115.0274
2016-11-30,115.3664
2016-12-01,113.7135
2016-12-02,114.222
2016-12-05,114.4763
2016-12-06,115.4511
2016-12-07,116.9346
2016-12-08,120.8338
2016-12-09,121.2152
2016-12-12,122.1901
2016-12-13,121.851
2016-12-14,118.9266
2016-12-15,119.6471
2016-12-16,120.8762
2016-12-19,121.6391
